trip_name,counts
Powell Street BART - 5th at Howard,290
Market at 4th - Market at 4th,289
Market at 4th - Harry Bridges Plaza (Ferry Building),289
Market at 10th - Civic Center BART (7th at Market),289
Grant Avenue at Columbus Avenue - Clay at Battery,289
Market at 4th - San Francisco Caltrain 2 (330 Townsend),288
Market at Sansome - Market at 10th,286
Townsend at 7th - Post at Kearny,284
Spear at Folsom - Commercial at Montgomery,283
California Ave Caltrain Station - Palo Alto Caltrain Station,282
Grant Avenue at Columbus Avenue - San Francisco Caltrain (Townsend at 4th),282
Yerba Buena Center of the Arts (3rd @ Howard) - Temporary Transbay Terminal (Howard at Beale),282
Market at 4th - Beale at Market,281
Market at 4th - 2nd at South Park,281
2nd at Townsend - Market at 4th,281
Powell Street BART - Civic Center BART (7th at Market),281
2nd at Folsom - 2nd at Townsend,280
San Francisco Caltrain (Townsend at 4th) - Civic Center BART (7th at Market),280
Market at 4th - Steuart at Market,274
San Francisco City Hall - Powell Street BART,274
Townsend at 7th - Civic Center BART (7th at Market),272
2nd at Folsom - Temporary Transbay Terminal (Howard at Beale),269
Market at 10th - Townsend at 7th,268
Beale at Market - Commercial at Montgomery,268
2nd at South Park - 2nd at Folsom,267
Howard at 2nd - Temporary Transbay Terminal (Howard at Beale),266
Commercial at Montgomery - Market at Sansome,266
Harry Bridges Plaza (Ferry Building) - Spear at Folsom,266
5th at Howard - Townsend at 7th,265
Spear at Folsom - 2nd at South Park,264
Washington at Kearny - Embarcadero at Sansome,263
2nd at Folsom - Townsend at 7th,261
Washington at Kearny - 2nd at South Park,261
San Francisco City Hall - San Francisco Caltrain 2 (330 Townsend),260
South Van Ness at Market - Civic Center BART (7th at Market),260
Grant Avenue at Columbus Avenue - Beale at Market,259
Grant Avenue at Columbus Avenue - Embarcadero at Folsom,258
San Francisco Caltrain (Townsend at 4th) - San Francisco City Hall,258
5th at Howard - Market at Sansome,256
Embarcadero at Sansome - San Francisco Caltrain 2 (330 Townsend),255
Market at 10th - Yerba Buena Center of the Arts (3rd @ Howard),253
Powell Street BART - Yerba Buena Center of the Arts (3rd @ Howard),251
Embarcadero at Bryant - Spear at Folsom,251
Mountain View Caltrain Station - Mountain View Caltrain Station,251
Howard at 2nd - Steuart at Market,250
2nd at Townsend - Mechanics Plaza (Market at Battery),250
San Salvador at 1st - San Jose City Hall,249
Embarcadero at Folsom - Embarcadero at Vallejo,248
Embarcadero at Bryant - Broadway St at Battery St,247
Market at 4th - 2nd at Folsom,246
Market at 10th - Market at 10th,246
2nd at South Park - Market at 4th,244
Embarcadero at Sansome - Powell at Post (Union Square),244
Embarcadero at Vallejo - Steuart at Market,244
Embarcadero at Bryant - Townsend at 7th,243
Embarcadero at Sansome - Spear at Folsom,243
Townsend at 7th - Spear at Folsom,242
Market at Sansome - Market at 4th,242
5th at Howard - Commercial at Montgomery,241
Market at 4th - 2nd at Townsend,240
Market at 4th - Commercial at Montgomery,240
Townsend at 7th - Market at Sansome,239
Embarcadero at Sansome - Grant Avenue at Columbus Avenue,239
Market at 4th - Temporary Transbay Terminal (Howard at Beale),238
Beale at Market - 2nd at Townsend,238
2nd at South Park - Post at Kearny,238
Powell at Post (Union Square) - Davis at Jackson,238
Powell Street BART - Harry Bridges Plaza (Ferry Building),237
Civic Center BART (7th at Market) - Embarcadero at Sansome,237
Steuart at Market - Mechanics Plaza (Market at Battery),236
Steuart at Market - Post at Kearny,235
2nd at Folsom - San Francisco Caltrain (Townsend at 4th),233
Broadway St at Battery St - Steuart at Market,233
2nd at Townsend - 2nd at South Park,232
